year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches,lat,lon,state,county
2020,86,Laredo,4.1,18.0,2.0,2.0,54.0,31.0,59.0,28.0,9.4,100.0,1.5,57.0,2.6,38.0,0.8,54.0,1.0,28.0,4.5,100.0,62.8,142.0,35.5,Laredo,,27.5056251,-99.5074517,Texas,Webb County
2020,87,Stockton,6.0,28.0,3.0,5.0,74.0,60.0,15.0,1.0,3.4,47.0,1.0,32.0,2.3,31.0,0.4,23.0,2.7,85.0,1.6,58.0,46.0,140.0,35.0,Stockton,,37.9577016,-121.290779,California,San Joaquin County
2020,88,Memphis,10.0,48.0,5.0,9.0,46.0,17.0,76.0,38.0,2.9,37.0,0.6,16.0,1.8,20.0,0.9,63.0,0.1,1.0,0.5,14.0,25.2,137.0,34.3,Memphis,,35.1460249,-90.0517638,Tennessee,West Tennessee
2020,89,Irving,3.2,14.0,5.0,11.0,64.0,45.0,72.0,36.0,1.1,3.0,1.2,44.0,3.0,48.0,0.8,53.0,0.2,5.0,0.8,28.0,30.2,136.0,34.0,Irving,,32.8295183,-96.9442177,Texas,Dallas County
2020,90,Hialeah,4.4,20.0,2.0,1.0,69.0,52.0,33.0,11.0,5.1,77.0,0.0,0.0,1.0,1.0,1.5,100.0,2.2,67.0,1.3,45.0,48.3,132.0,33.1,Hialeah,,25.8575963,-80.2781057,Florida,Miami-Dade County
2020,91,Baton Rouge,4.2,19.0,3.0,5.0,54.0,30.0,44.0,19.0,8.0,100.0,0.8,27.0,2.6,39.0,2.9,100.0,1.2,36.0,0.8,29.0,55.2,128.0,32.0,Baton Rouge,,30.4494155,-91.1869659,Louisiana,East Baton Rouge Parish
2020,92,Fresno,2.2,9.0,4.0,8.0,67.0,51.0,42.0,17.0,4.6,68.0,1.3,49.0,2.6,38.0,0.6,38.0,0.9,26.0,0.9,33.0,42.0,127.0,31.8,Fresno,,36.7295295,-119.70886126075588,California,Fresno County
2020,93,Lubbock,9.7,46.0,3.0,4.0,56.0,33.0,35.0,13.0,4.8,71.0,0.8,23.0,2.2,28.0,0.4,22.0,1.3,38.0,0.0,0.0,30.3,126.0,31.6,Lubbock,,33.5855677,-101.8470215,Texas,Lubbock County
2020,94,Fort Worth,7.7,36.0,6.0,13.0,61.0,40.0,56.0,26.0,1.2,5.0,0.3,2.0,2.3,31.0,0.3,17.0,0.2,3.0,0.1,1.0,9.8,125.0,31.2,Fort Worth,,32.753177,-97.3327459,Texas,Tarrant County
2020,95,Charlotte/Mecklenburg County,16.5,50.0,6.0,13.0,37.0,3.0,56.0,26.0,3.7,51.0,0.6,17.0,2.1,26.0,0.5,28.0,0.6,14.0,0.8,28.0,27.3,119.0,29.8,Charlotte,,35.2272086,-80.8430827,North Carolina,Mecklenburg County
2020,96,Mesa,2.8,12.0,4.0,8.0,66.0,48.0,65.0,32.0,2.8,34.0,0.4,5.0,1.3,8.0,0.2,12.0,0.7,18.0,0.6,19.0,16.0,116.0,29.0,Mesa,,33.4151005,-111.831455,Arizona,Maricopa County
2020,97,Oklahoma City,5.0,22.0,5.0,10.0,38.0,5.0,57.0,26.0,1.7,14.0,0.3,1.0,1.6,16.0,0.7,42.0,1.1,31.0,2.4,89.0,32.2,95.0,23.8,Oklahoma City,,35.4729886,-97.5170536,Oklahoma,Oklahoma County
2019,1,"Washington, D.C.",1.4,5.0,21.0,50.0,9.0,97.5,270.0,100.0,5.9,97.5,1.9,85.0,1.7,25.0,2.3,100.0,2.9,88.0,3.9,100.0,82.5,,83.8,"Washington, D.C.",,38.8950368,-77.0365427,Washington,District of Columbia
